,precision,recall,f1-score,support
pi,0.6666666666666666,0.6909090909090909,0.6785714285714286,55.0
alpha,0.9016393442622951,0.88,0.8906882591093117,125.0
beta,0.3,0.2,0.24,15.0
sigma,0.6666666666666666,0.8,0.7272727272727272,15.0
gamma,0.56,0.56,0.56,50.0
delta,0.6935483870967742,0.7818181818181819,0.7350427350427351,55.0
lambda,0.375,0.4,0.38709677419354843,15.0
omega,0.9375,1.0,0.967741935483871,15.0
mu,0.711864406779661,0.84,0.7706422018348624,50.0
xi,0.7727272727272727,0.68,0.7234042553191491,125.0
accuracy,0.7346153846153847,0.7346153846153847,0.7346153846153847,0.7346153846153847
macro avg,0.6585612744199336,0.6832727272727273,0.6680460316827633,520.0
weighted avg,0.7344007219609004,0.7346153846153847,0.7324502402852536,520.0
