9,9
0,0
4,4
5,5
9,9
1,1
1,1
3,3
8,8
9,9
0,0
1,1
3,3
9,9
0,9
3,3
9,9
9,9
7,7
1,1
6,6
1,1
2,2
7,7
9,9
8,8
1,1
1,1
8,8
2,8
9,9
8,8
8,8
9,9
8,8
1,1
9,9
9,9
1,1
1,1
1,1
7,7
0,0
5,5
9,9
5,9
1,1
1,1
5,5
1,1
8,9
9,0
5,5
9,9
0,0
1,0
8,8
5,5
4,9
1,1
1,1
9,9
0,0
0,0
9,9
0,0
1,1
4,4
0,0
9,2
3,3
1,1
1,1
9,9
9,5
8,8
4,9
1,1
4,4
9,9
7,7
1,1
0,0
5,5
0,0
6,6
9,9
9,9
7,7
6,6
8,8
5,4
1,1
1,1
5,5
1,1
9,9
9,9
0,0
0,0
9,4
8,8
8,8
2,2
4,4
5,5
8,8
5,5
5,5
4,4
1,1
9,9
2,5
5,5
8,8
9,9
8,8
4,1
8,8
9,9
1,1
5,5
5,5
9,9
1,1
1,1
6,2
9,4
4,4
9,9
1,1
1,1
8,8
1,1
9,9
1,1
4,4
9,9
0,0
2,8
5,5
0,0
1,1
9,4
4,4
4,4
9,9
9,9
9,5
1,1
1,1
5,5
9,9
1,1
5,5
0,0
1,1
5,5
5,5
3,3
0,0
8,8
0,0
1,1
1,1
1,1
1,1
1,1
9,9
0,8
5,5
9,9
5,5
0,0
4,4
1,1
1,1
0,0
8,8
5,5
9,4
1,1
4,9
9,9
4,4
1,1
9,9
4,9
9,8
3,3
1,1
9,9
1,1
9,8
5,5
7,7
9,9
7,7
9,9
9,9
9,9
0,0
9,9
0,0
0,5
1,1
8,8
1,1
5,5
4,0
4,4
5,5
0,0
0,0
9,9
0,0
8,8
1,1
1,1
9,9
8,8
1,1
9,4
4,4
4,9
3,3
8,9
5,5
4,4
1,1
9,9
1,1
9,9
9,9
1,1
6,6
5,5
9,9
2,8
1,1
2,2
0,0
9,9
9,9
1,1
1,1
5,5
0,0
9,9
7,7
9,9
1,1
1,1
1,1
9,9
0,0
9,9
3,3
1,1
1,1
4,4
1,1
1,1
1,1
4,5
5,5
9,9
2,2
7,7
9,8
5,5
4,0
9,9
1,1
7,7
0,0
5,5
8,8
9,9
5,5
0,0
4,4
4,4
6,6
3,3
9,9
0,0
1,1
5,9
1,1
3,3
9,9
2,8
8,8
1,1
9,9
1,1
0,0
8,8
9,5
0,1
5,5
9,9
5,5
1,1
1,1
1,1
7,7
6,8
1,3
9,9
9,9
1,1
4,4
1,1
8,8
5,5
9,9
9,9
7,7
9,9
8,8
9,9
9,9
0,0
5,5
9,9
0,0
1,1
5,9
5,5
1,1
9,9
4,4
1,1
6,6
7,7
1,1
9,9
4,4
8,8
8,8
5,5
8,8
0,0
4,9
5,5
4,4
9,0
9,9
5,5
3,3
1,8
8,8
1,1
4,9
9,5
1,1
1,1
1,1
4,0
9,9
0,0
5,2
4,9
2,8
4,0
1,1
1,1
3,3
9,9
5,5
1,1
5,5
1,1
4,4
1,1
9,9
8,8
8,8
1,1
9,9
1,1
1,1
1,1
9,9
4,0
4,4
9,9
6,1
9,9
9,9
0,0
1,1
5,5
1,1
2,2
8,8
2,2
1,1
1,1
9,9
6,0
9,9
8,8
7,7
8,8
9,9
8,8
4,4
5,5
6,6
1,1
9,9
1,1
1,1
9,9
1,1
4,4
5,5
4,9
9,9
3,0
9,9
4,8
0,0
9,9
5,5
4,4
8,8
9,9
4,0
1,1
9,9
9,9
1,1
1,1
9,9
9,9
5,5
1,1
0,0
0,0
1,1
0,0
9,8
8,8
8,8
0,0
4,9
9,9
9,9
1,1
9,9
8,8
0,0
1,1
0,0
1,1
9,9
1,1
8,8
8,8
9,9
8,8
4,4
1,1
2,8
7,7
8,8
9,9
8,8
2,2
9,9
3,3
9,9
5,5
0,0
6,8
6,4
6,6
0,8
1,1
1,8
9,9
4,4
9,9
8,8
9,9
0,0
1,1
5,5
4,4
1,1
8,8
1,1
3,3
0,0
0,0
1,1
9,9
0,0
9,5
4,4
9,9
0,0
2,2
1,1
5,5
8,8
9,9
1,1
1,1
9,9
4,4
0,0
1,1
9,9
6,6
5,5
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
